[2022-10-19 10:24:30] INFO [http-nio-8080-exec-3] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:30] INFO [http-nio-8080-exec-3] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:24:30] INFO [http-nio-8080-exec-6] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:24:30] INFO [http-nio-8080-exec-6] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:25:37] INFO [http-nio-8080-exec-7] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:25:37] INFO [http-nio-8080-exec-7] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:25:37] INFO [http-nio-8080-exec-8] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:25:37] INFO [http-nio-8080-exec-8] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:09] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:29:09] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:09] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@1a0b5323
[2022-10-19 10:29:09] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:21] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:22] INFO [http-nio-8080-exec-2] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:22] INFO [http-nio-8080-exec-2] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:28] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:28] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:29] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:29] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:29:29] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:29:29] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:30:52] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:30:52] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:30:52] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@71d9cb05
[2022-10-19 10:30:52] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:04] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:31:07] INFO [http-nio-8080-exec-1] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:31:07] INFO [http-nio-8080-exec-1] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:32:42] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:32:42] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:32:42] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@67efd2c2
[2022-10-19 10:32:42] INFO [SpringApplicationShutdownHook] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
[2022-10-19 10:32:52] INFO [main] ContextStartEventHandler.onApplicationEvent(20) | Context start application org.springframework.jdbc.datasource.DriverManagerDataSource@3dfa819
[2022-10-19 10:32:52] INFO [main] ContextStartEventHandler.createTable(37) | Table HN_USER already exists!
